employeenumber,age,gender,maritalstatus,education,educationfield
1,41,Female,Single,2,Life Sciences
2,49,Male,Married,1,Life Sciences
4,37,Male,Single,2,Other
5,33,Female,Married,4,Life Sciences
7,27,Male,Married,1,Medical
8,32,Male,Single,2,Life Sciences
10,59,Female,Married,3,Medical
11,30,Male,Divorced,1,Life Sciences
12,38,Male,Single,3,Life Sciences
13,36,Male,Married,3,Medical
14,35,Male,Married,3,Medical
15,29,Female,Single,2,Life Sciences
16,31,Male,Divorced,1,Life Sciences
18,34,Male,Divorced,2,Medical
19,28,Male,Single,3,Life Sciences
20,29,Female,Divorced,4,Life Sciences
21,32,Male,Divorced,2,Life Sciences
22,22,Male,Divorced,2,Medical
23,53,Female,Married,4,Life Sciences
24,38,Male,Single,3,Life Sciences
26,24,Female,Divorced,2,Other
27,36,Male,Single,4,Life Sciences
28,34,Female,Single,4,Life Sciences
30,21,Male,Single,2,Life Sciences
31,34,Male,Single,1,Medical
32,53,Female,Divorced,3,Other
33,32,Female,Single,1,Life Sciences
35,42,Male,Married,4,Marketing
36,44,Female,Married,4,Medical
38,46,Female,Single,4,Marketing
39,33,Male,Single,3,Medical
40,44,Male,Married,4,Other
41,30,Male,Single,2,Medical
42,39,Male,Married,3,Technical Degree
45,24,Male,Married,3,Medical
46,43,Female,Divorced,2,Medical
47,50,Male,Married,2,Marketing
49,35,Female,Married,3,Marketing
51,36,Female,Married,4,Life Sciences
52,33,Female,Married,3,Life Sciences
53,35,Male,Divorced,2,Other
54,27,Female,Divorced,4,Life Sciences
55,26,Male,Single,3,Life Sciences
56,27,Male,Single,3,Life Sciences
57,30,Female,Single,2,Medical
58,41,Female,Married,3,Technical Degree
60,34,Male,Single,4,Marketing
61,37,Male,Married,2,Life Sciences
62,46,Male,Single,4,Marketing
63,35,Male,Married,1,Life Sciences
64,48,Male,Single,2,Life Sciences
65,28,Male,Single,4,Technical Degree
68,44,Female,Divorced,5,Marketing
70,35,Male,Married,2,Medical
72,26,Female,Married,3,Marketing
73,33,Female,Single,2,Life Sciences
74,35,Male,Married,5,Life Sciences
75,35,Female,Married,4,Medical
76,31,Male,Divorced,4,Life Sciences
77,37,Male,Divorced,4,Life Sciences
78,32,Male,Married,3,Medical
79,38,Female,Single,5,Life Sciences
80,50,Female,Divorced,2,Medical
81,59,Female,Single,3,Life Sciences
83,36,Female,Divorced,3,Technical Degree
84,55,Female,Divorced,3,Medical
85,36,Male,Single,3,Life Sciences
86,45,Male,Divorced,3,Life Sciences
88,35,Male,Married,3,Medical
90,36,Male,Married,3,Medical
91,59,Female,Single,1,Life Sciences
94,29,Male,Married,3,Life Sciences
95,31,Male,Single,4,Medical
96,32,Male,Married,3,Life Sciences
97,36,Female,Married,3,Life Sciences
98,31,Female,Single,4,Life Sciences
100,35,Male,Single,4,Marketing
101,45,Male,Married,4,Other
102,37,Male,Single,4,Medical
103,46,Male,Divorced,2,Medical
104,30,Male,Married,1,Life Sciences
105,35,Male,Single,3,Medical
106,55,Male,Married,2,Life Sciences
107,38,Female,Divorced,3,Medical
110,34,Male,Married,2,Medical
112,56,Male,Single,3,Life Sciences
113,23,Male,Divorced,1,Technical Degree
116,51,Male,Married,4,Life Sciences
117,30,Male,Married,3,Life Sciences
118,46,Male,Single,2,Medical
119,40,Male,Married,4,Life Sciences
120,51,Male,Single,4,Marketing
121,30,Female,Divorced,2,Medical
124,46,Male,Married,3,Medical
125,32,Male,Single,4,Medical
126,54,Female,Married,4,Technical Degree
128,24,Female,Married,2,Other
129,28,Male,Married,3,Medical
131,58,Male,Single,4,Medical
132,44,Male,Married,3,Medical
133,37,Male,Divorced,4,Human Resources
134,32,Male,Single,1,Life Sciences
137,20,Female,Single,3,Life Sciences
138,34,Female,Single,4,Other
139,37,Male,Divorced,2,Life Sciences
140,59,Female,Married,4,Human Resources
141,50,Female,Married,3,Life Sciences
142,25,Male,Single,3,Marketing
143,25,Male,Married,1,Medical
144,22,Female,Single,3,Medical
145,51,Female,Single,4,Medical
147,34,Male,Single,3,Life Sciences
148,54,Female,Single,3,Human Resources
150,24,Male,Married,1,Life Sciences
151,34,Female,Divorced,4,Life Sciences
152,37,Male,Single,3,Life Sciences
153,34,Female,Single,3,Medical
154,36,Female,Married,2,Technical Degree
155,36,Female,Divorced,2,Life Sciences
158,43,Male,Married,2,Life Sciences
159,30,Male,Divorced,3,Life Sciences
160,33,Male,Married,2,Marketing
161,56,Female,Married,4,Life Sciences
162,51,Male,Single,3,Life Sciences
163,31,Male,Married,4,Life Sciences
164,26,Female,Married,3,Other
165,58,Female,Married,4,Medical
167,19,Male,Single,1,Marketing
169,22,Male,Married,1,Technical Degree
170,49,Female,Married,4,Medical
171,43,Female,Single,3,Medical
174,50,Female,Single,3,Marketing
175,31,Female,Married,3,Life Sciences
176,41,Male,Divorced,1,Life Sciences
177,26,Female,Married,1,Life Sciences
178,36,Male,Divorced,2,Medical
179,51,Male,Single,4,Life Sciences
182,39,Female,Married,4,Life Sciences
183,25,Male,Married,3,Life Sciences
184,30,Male,Married,3,Human Resources
190,32,Female,Single,3,Medical
192,45,Male,Single,3,Medical
193,38,Female,Single,5,Technical Degree
194,30,Female,Single,3,Life Sciences
195,32,Male,Divorced,2,Medical
197,30,Female,Divorced,3,Technical Degree
198,30,Male,Single,1,Medical
199,41,Male,Divorced,3,Life Sciences
200,41,Male,Married,4,Life Sciences
201,19,Female,Single,1,Medical
202,40,Female,Divorced,3,Medical
204,35,Male,Married,5,Marketing
205,53,Male,Married,2,Marketing
206,45,Male,Divorced,3,Life Sciences
207,32,Female,Single,3,Marketing
208,29,Male,Married,1,Technical Degree
211,51,Male,Married,4,Medical
214,58,Female,Married,3,Medical
215,40,Male,Married,4,Marketing
216,34,Female,Married,4,Marketing
217,22,Male,Married,1,Medical
218,27,Male,Divorced,3,Medical
221,28,Male,Married,3,Medical
223,57,Male,Divorced,2,Life Sciences
224,27,Male,Divorced,3,Medical
226,50,Female,Single,3,Life Sciences
227,41,Male,Divorced,3,Life Sciences
228,30,Female,Married,3,Life Sciences
230,38,Female,Single,4,Life Sciences
231,32,Male,Single,5,Life Sciences
233,27,Male,Married,3,Technical Degree
235,19,Female,Single,1,Technical Degree
238,36,Male,Single,2,Medical
239,30,Male,Divorced,3,Medical
240,45,Female,Divorced,2,Life Sciences
241,56,Female,Divorced,3,Life Sciences
242,33,Male,Single,3,Life Sciences
243,19,Male,Single,3,Life Sciences
244,46,Female,Divorced,2,Marketing
245,38,Female,Single,2,Life Sciences
246,31,Female,Married,1,Medical
247,34,Female,Single,2,Medical
248,41,Female,Single,2,Marketing
249,50,Male,Married,3,Medical
250,53,Female,Divorced,2,Medical
252,33,Female,Married,3,Medical
253,40,Female,Married,1,Medical
254,55,Male,Single,4,Medical
256,34,Male,Married,1,Life Sciences
258,51,Female,Single,3,Medical
259,52,Male,Married,4,Life Sciences
260,27,Female,Single,3,Medical
261,35,Male,Married,2,Life Sciences
262,43,Male,Divorced,3,Medical
264,45,Male,Married,2,Medical
267,37,Male,Married,3,Life Sciences
269,35,Female,Single,3,Medical
270,42,Female,Divorced,2,Medical
271,38,Male,Married,4,Life Sciences
273,38,Male,Married,3,Technical Degree
274,27,Male,Married,1,Technical Degree
275,49,Male,Divorced,4,Life Sciences
277,34,Male,Divorced,4,Medical
281,40,Male,Married,2,Medical
282,38,Male,Married,1,Medical
283,29,Female,Married,3,Marketing
284,22,Male,Divorced,3,Life Sciences
286,36,Female,Single,1,Medical
287,40,Male,Married,5,Life Sciences
288,46,Male,Divorced,4,Medical
291,32,Male,Married,4,Medical
292,30,Male,Single,1,Life Sciences
293,27,Female,Single,3,Life Sciences
296,51,Male,Married,4,Life Sciences
297,30,Female,Single,3,Technical Degree
298,41,Female,Single,3,Life Sciences
299,30,Female,Single,4,Marketing
300,29,Male,Single,3,Technical Degree
302,45,Female,Single,3,Medical
303,54,Female,Married,3,Marketing
304,36,Male,Single,2,Life Sciences
305,33,Female,Married,4,Medical
306,37,Male,Divorced,3,Other
307,38,Male,Divorced,3,Life Sciences
308,31,Male,Married,4,Medical
309,59,Male,Married,3,Life Sciences
311,37,Male,Divorced,4,Marketing
312,29,Female,Married,1,Medical
314,35,Female,Single,3,Marketing
315,29,Male,Single,1,Medical
316,52,Female,Single,3,Life Sciences
319,42,Male,Married,2,Technical Degree
321,59,Male,Married,2,Medical
323,50,Female,Divorced,4,Medical
325,33,Male,Married,3,Medical
327,43,Female,Married,3,Marketing
328,33,Female,Married,2,Life Sciences
329,52,Male,Single,4,Life Sciences
330,32,Female,Married,2,Life Sciences
331,32,Male,Single,3,Life Sciences
332,39,Female,Divorced,4,Medical
333,32,Male,Married,4,Marketing
334,41,Male,Divorced,2,Life Sciences
335,40,Male,Divorced,2,Technical Degree
336,45,Male,Married,3,Other
337,31,Male,Divorced,4,Medical
338,33,Female,Married,4,Life Sciences
339,34,Male,Married,4,Life Sciences
340,37,Female,Married,2,Medical
341,45,Male,Married,4,Life Sciences
342,37,Male,Divorced,3,Medical
343,39,Female,Single,4,Technical Degree
346,29,Male,Single,3,Life Sciences
347,42,Female,Single,2,Life Sciences
349,29,Male,Divorced,2,Marketing
350,25,Female,Married,3,Life Sciences
351,42,Female,Divorced,3,Medical
352,40,Male,Divorced,2,Medical
353,51,Male,Married,3,Life Sciences
355,31,Male,Single,2,Medical
359,32,Male,Married,3,Life Sciences
361,38,Male,Married,2,Life Sciences
362,32,Male,Single,1,Technical Degree
363,46,Female,Married,3,Technical Degree
364,28,Male,Single,4,Life Sciences
366,29,Male,Married,3,Medical
367,31,Male,Married,3,Medical
369,25,Male,Divorced,2,Life Sciences
372,45,Male,Married,2,Medical
373,36,Male,Married,3,Life Sciences
374,55,Male,Single,3,Medical
376,47,Male,Married,4,Life Sciences
377,28,Male,Married,3,Medical
378,37,Male,Married,4,Medical
379,21,Male,Single,2,Medical
380,37,Female,Divorced,4,Medical
381,35,Female,Divorced,3,Life Sciences
382,38,Female,Divorced,2,Medical
384,26,Female,Divorced,3,Life Sciences
385,50,Male,Divorced,1,Life Sciences
386,53,Male,Married,4,Medical
387,42,Male,Married,1,Life Sciences
388,29,Male,Single,2,Life Sciences
389,55,Male,Married,2,Technical Degree
390,26,Male,Married,2,Medical
391,37,Female,Single,3,Life Sciences
392,44,Male,Divorced,3,Life Sciences
393,38,Male,Divorced,4,Life Sciences
394,26,Male,Divorced,4,Medical
395,28,Female,Single,2,Life Sciences
396,49,Female,Single,4,Life Sciences
397,36,Male,Single,3,Technical Degree
399,31,Female,Divorced,3,Marketing
401,26,Male,Single,4,Marketing
403,37,Male,Married,3,Medical
404,42,Female,Married,3,Marketing
405,18,Male,Single,3,Life Sciences
406,35,Male,Married,3,Marketing
407,36,Male,Married,4,Life Sciences
408,51,Male,Divorced,3,Medical
410,41,Male,Single,4,Life Sciences
411,18,Female,Single,3,Medical
412,28,Male,Single,2,Medical
416,31,Male,Married,3,Technical Degree
417,39,Male,Divorced,3,Medical
419,36,Female,Married,4,Life Sciences
420,32,Male,Married,3,Life Sciences
421,38,Female,Married,2,Life Sciences
422,58,Male,Divorced,4,Life Sciences
423,31,Male,Married,4,Technical Degree
424,31,Male,Married,3,Human Resources
425,45,Male,Divorced,3,Life Sciences
426,31,Male,Divorced,4,Life Sciences
428,33,Female,Married,4,Life Sciences
429,39,Male,Married,1,Medical
430,43,Female,Single,4,Life Sciences
431,49,Female,Single,2,Technical Degree
433,52,Male,Married,4,Medical
434,27,Female,Single,3,Life Sciences
436,32,Female,Married,2,Technical Degree
437,27,Male,Single,3,Life Sciences
438,31,Male,Divorced,3,Marketing
439,32,Female,Single,4,Medical
440,28,Male,Married,4,Medical
441,30,Female,Married,2,Medical
442,31,Female,Married,2,Life Sciences
444,39,Male,Married,2,Medical
445,39,Female,Married,2,Medical
446,33,Male,Single,3,Marketing
447,47,Male,Married,5,Life Sciences
448,43,Female,Divorced,4,Life Sciences
449,27,Male,Married,1,Marketing
450,54,Female,Single,4,Life Sciences
451,43,Female,Married,3,Life Sciences
452,45,Male,Married,4,Other
453,40,Male,Married,2,Medical
454,29,Male,Married,4,Other
455,29,Male,Single,5,Other
456,30,Female,Divorced,3,Marketing
458,27,Female,Married,4,Marketing
460,37,Male,Divorced,2,Medical
461,38,Male,Divorced,2,Life Sciences
462,31,Female,Single,4,Medical
463,29,Female,Divorced,1,Marketing
464,35,Male,Single,4,Technical Degree
465,23,Male,Divorced,1,Life Sciences
466,41,Male,Single,3,Medical
467,47,Male,Single,1,Medical
468,42,Female,Single,5,Life Sciences
469,29,Male,Married,3,Life Sciences
470,42,Male,Divorced,1,Technical Degree
471,32,Female,Married,3,Medical
473,48,Female,Married,1,Medical
474,37,Male,Divorced,3,Medical
475,30,Female,Married,2,Technical Degree
476,26,Male,Married,3,Life Sciences
477,42,Male,Single,4,Other
478,21,Female,Single,1,Technical Degree
479,36,Female,Single,5,Medical
481,36,Male,Married,4,Medical
482,57,Male,Married,4,Medical
483,40,Female,Married,4,Life Sciences
484,21,Male,Single,2,Medical
485,33,Female,Single,3,Marketing
486,37,Female,Married,3,Medical
487,46,Female,Married,4,Medical
488,41,Male,Single,3,Marketing
491,50,Male,Single,3,Technical Degree
492,40,Male,Married,2,Marketing
493,31,Male,Single,4,Life Sciences
494,21,Female,Single,3,Life Sciences
495,29,Male,Single,3,Life Sciences
496,35,Male,Single,4,Life Sciences
497,27,Male,Divorced,2,Medical
498,28,Male,Single,4,Life Sciences
499,49,Male,Single,3,Other
500,51,Female,Married,2,Life Sciences
501,36,Female,Married,3,Life Sciences
502,34,Male,Single,3,Marketing
505,55,Female,Single,3,Life Sciences
507,24,Female,Divorced,4,Marketing
508,30,Male,Married,1,Technical Degree
510,26,Male,Single,1,Technical Degree
511,22,Female,Married,3,Medical
513,36,Male,Married,2,Medical
514,30,Male,Single,3,Technical Degree
515,37,Female,Divorced,3,Life Sciences
516,40,Female,Divorced,2,Marketing
517,42,Female,Divorced,4,Life Sciences
518,37,Male,Single,4,Life Sciences
520,43,Male,Divorced,3,Life Sciences
521,40,Female,Married,3,Medical
522,54,Male,Married,2,Medical
523,34,Female,Married,4,Marketing
524,31,Female,Married,2,Medical
525,43,Male,Married,3,Medical
526,43,Female,Divorced,4,Other
527,25,Female,Single,2,Life Sciences
529,37,Female,Married,5,Medical
530,31,Male,Married,2,Life Sciences
531,39,Male,Divorced,1,Life Sciences
532,56,Female,Married,3,Life Sciences
533,30,Female,Single,3,Technical Degree
534,41,Male,Married,3,Marketing
536,28,Male,Divorced,2,Medical
538,25,Male,Married,3,Medical
543,52,Male,Married,3,Medical
544,45,Male,Married,2,Life Sciences
546,52,Female,Married,2,Life Sciences
547,42,Female,Divorced,2,Life Sciences
548,30,Female,Single,3,Life Sciences
549,60,Female,Married,3,Life Sciences
550,46,Female,Divorced,3,Medical
551,42,Female,Married,4,Technical Degree
554,24,Female,Single,1,Technical Degree
555,34,Female,Divorced,2,Marketing
556,38,Male,Married,2,Life Sciences
558,40,Female,Married,4,Life Sciences
560,26,Female,Divorced,3,Life Sciences
562,30,Male,Married,3,Life Sciences
564,29,Male,Married,4,Medical
565,29,Female,Married,5,Technical Degree
566,19,Male,Single,2,Technical Degree
567,30,Female,Married,4,Other
568,57,Male,Divorced,3,Marketing
569,50,Male,Married,4,Life Sciences
571,30,Female,Single,3,Medical
573,60,Female,Married,3,Marketing
574,47,Female,Divorced,2,Medical
575,46,Male,Married,3,Life Sciences
577,35,Male,Single,3,Life Sciences
578,54,Female,Single,4,Life Sciences
579,34,Male,Divorced,4,Life Sciences
580,46,Female,Married,3,Marketing
581,31,Male,Divorced,1,Life Sciences
582,33,Male,Married,1,Medical
584,33,Male,Divorced,1,Medical
585,30,Male,Single,1,Marketing
586,35,Male,Married,3,Life Sciences
587,31,Male,Married,3,Life Sciences
590,34,Female,Divorced,3,Human Resources
591,42,Male,Married,2,Other
592,36,Male,Single,4,Medical
593,22,Male,Single,1,Technical Degree
595,48,Female,Married,5,Marketing
597,55,Female,Single,5,Life Sciences
599,41,Male,Single,2,Life Sciences
600,35,Male,Married,3,Marketing
601,40,Female,Single,3,Life Sciences
602,39,Female,Married,1,Life Sciences
604,31,Male,Single,1,Life Sciences
605,42,Male,Married,3,Medical
606,45,Male,Married,3,Other
608,26,Female,Divorced,4,Life Sciences
611,29,Male,Divorced,3,Technical Degree
612,33,Female,Divorced,5,Medical
613,31,Male,Divorced,3,Life Sciences
614,18,Male,Single,3,Marketing
615,40,Male,Divorced,3,Other
616,41,Female,Single,4,Other
618,26,Male,Divorced,2,Medical
620,35,Female,Single,3,Medical
621,34,Male,Single,4,Life Sciences
622,26,Male,Single,3,Technical Degree
623,37,Female,Single,3,Technical Degree
624,46,Female,Married,1,Medical
625,41,Female,Married,5,Life Sciences
626,37,Male,Divorced,4,Medical
630,52,Male,Divorced,2,Technical Degree
631,32,Male,Married,4,Other
632,24,Male,Married,3,Medical
634,38,Female,Married,3,Medical
635,37,Female,Married,4,Life Sciences
638,49,Male,Divorced,4,Life Sciences
639,24,Male,Married,3,Medical
641,26,Male,Married,2,Marketing
643,24,Male,Married,2,Other
644,50,Male,Married,3,Medical
645,25,Male,Married,1,Medical
647,24,Female,Married,3,Life Sciences
648,30,Male,Married,4,Life Sciences
649,34,Male,Married,2,Life Sciences
650,31,Male,Divorced,4,Medical
652,35,Male,Single,2,Other
653,31,Male,Divorced,4,Medical
655,27,Female,Divorced,4,Medical
656,37,Male,Married,3,Marketing
657,20,Female,Single,3,Life Sciences
659,42,Female,Married,4,Life Sciences
661,43,Male,Divorced,4,Other
662,38,Female,Single,1,Life Sciences
663,43,Male,Divorced,5,Medical
664,48,Female,Married,4,Life Sciences
665,44,Female,Single,4,Life Sciences
666,34,Female,Divorced,3,Technical Degree
667,27,Male,Divorced,1,Marketing
669,21,Male,Single,1,Technical Degree
671,44,Male,Married,4,Other
